mapping,log_level,passed,threshold,type,kpn,platform.processor_0.type,random_seed,platform,platform.name,representation,trace,design_centering.perturbation.perturbation_type,platform.processor_1.type
"[54, 62, 35, 73, 80, 49, 51, 55, 78, 69, 14, 23]",ERROR,100.0,60014ms,center,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[14, 8, 5, 6, 5, 42, 32, 37, 67, 37, 71, 23]",ERROR,90.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[1, 36, 51, 76, 30, 8, 43, 31, 44, 13, 81, 11]",ERROR,100.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[2, 73, 48, 57, 84, 24, 80, 46, 29, 0, 12, 40]",ERROR,100.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[27, 82, 20, 59, 59, 63, 22, 21, 82, 4, 78, 4]",ERROR,90.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[72, 33, 82, 41, 29, 16, 37, 71, 69, 52, 6, 82]",ERROR,100.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[65, 74, 30, 28, 74, 1, 16, 77, 51, 61, 31, 18]",ERROR,100.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[78, 0, 38, 38, 18, 48, 30, 74, 33, 25, 32, 64]",ERROR,100.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[40, 16, 78, 77, 26, 78, 34, 51, 6, 7, 67, 35]",ERROR,100.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[43, 29, 13, 30, 22, 70, 43, 74, 41, 47, 15, 68]",ERROR,100.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[34, 19, 24, 6, 68, 73, 59, 21, 56, 59, 32, 80]",ERROR,0.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[77, 62, 17, 76, 7, 63, 28, 28, 80, 4, 75, 12]",ERROR,100.0,52987ms,center,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[65, 60, 2, 78, 49, 51, 71, 25, 48, 50, 18, 4]",ERROR,100.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[84, 2, 3, 55, 21, 38, 9, 76, 50, 60, 50, 24]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[83, 54, 41, 13, 12, 39, 9, 30, 49, 66, 80, 77]",ERROR,40.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[44, 25, 55, 63, 30, 70, 37, 79, 21, 81, 33, 19]",ERROR,0.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[27, 38, 65, 47, 58, 63, 72, 76, 9, 47, 58, 57]",ERROR,100.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[59, 8, 28, 72, 65, 9, 13, 8, 12, 43, 14, 39]",ERROR,0.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[82, 25, 14, 43, 55, 53, 9, 14, 18, 62, 12, 48]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[42, 23, 37, 14, 47, 61, 72, 46, 34, 59, 2, 76]",ERROR,90.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[3, 15, 52, 73, 14, 11, 58, 6, 5, 76, 69, 75]",ERROR,100.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[24, 7, 29, 0, 14, 19, 13, 13, 66, 24, 23, 72]",ERROR,80.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,5,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[40, 68, 48, 9, 45, 1, 74, 53, 6, 19, 61, 46]",ERROR,100.0,50227ms,center,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[12, 4, 19, 50, 36, 6, 45, 39, 61, 47, 2, 1]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[77, 16, 40, 76, 25, 31, 83, 32, 1, 60, 70, 3]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[8, 31, 31, 83, 13, 29, 5, 56, 36, 32, 15, 35]",ERROR,40.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[26, 35, 39, 6, 47, 41, 3, 13, 53, 42, 80, 39]",ERROR,100.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[48, 23, 14, 57, 68, 33, 73, 47, 81, 64, 42, 26]",ERROR,40.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[63, 25, 24, 28, 13, 23, 53, 53, 64, 63, 18, 54]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[38, 21, 61, 77, 79, 79, 25, 36, 49, 21, 72, 73]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[38, 66, 46, 17, 19, 8, 51, 45, 28, 6, 7, 78]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[4, 10, 80, 81, 12, 67, 33, 66, 16, 28, 0, 57]",ERROR,60.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[60, 62, 8, 55, 56, 81, 40, 2, 57, 64, 64, 49]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[13, 17, 84, 59, 61, 43, 38, 55, 36, 54, 44, 56]",ERROR,50.0,52987ms,center,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[48, 59, 72, 15, 33, 58, 25, 8, 28, 28, 50, 72]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[45, 23, 83, 14, 27, 43, 5, 72, 35, 62, 0, 47]",ERROR,20.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[84, 25, 22, 31, 39, 71, 67, 65, 8, 77, 54, 4]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[78, 62, 4, 47, 48, 39, 46, 14, 32, 41, 73, 15]",ERROR,30.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[63, 15, 51, 30, 38, 35, 72, 33, 57, 75, 65, 80]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[62, 80, 9, 83, 38, 37, 17, 39, 27, 53, 20, 29]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[17, 65, 33, 37, 40, 70, 48, 84, 69, 40, 53, 83]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[62, 33, 51, 63, 38, 8, 62, 6, 76, 9, 51, 9]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[43, 17, 19, 4, 2, 10, 72, 63, 42, 83, 19, 57]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[1, 0, 38, 17, 7, 64, 25, 32, 67, 46, 37, 81]",ERROR,70.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[46, 40, 14, 36, 16, 27, 45, 3, 65, 76, 9, 38]",ERROR,20.0,50227ms,center,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[6, 78, 39, 48, 33, 31, 16, 59, 50, 42, 28, 13]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[25, 68, 25, 29, 57, 33, 75, 26, 2, 52, 21, 76]",ERROR,60.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[54, 36, 7, 12, 34, 31, 61, 5, 68, 14, 49, 84]",ERROR,10.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[42, 77, 4, 48, 7, 16, 41, 17, 62, 63, 38, 14]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[42, 45, 38, 40, 19, 67, 24, 58, 56, 81, 13, 82]",ERROR,10.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[5, 65, 13, 18, 74, 57, 16, 50, 75, 42, 67, 77]",ERROR,10.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[79, 27, 52, 81, 45, 28, 18, 43, 13, 19, 74, 45]",ERROR,20.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[5, 66, 42, 35, 48, 47, 48, 80, 23, 44, 80, 68]",ERROR,40.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[11, 51, 29, 70, 30, 34, 40, 48, 32, 12, 9, 42]",ERROR,20.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[70, 13, 74, 40, 11, 63, 81, 54, 18, 20, 51, 11]",ERROR,20.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[54, 62, 35, 73, 80, 49, 51, 55, 78, 69, 14, 23]",ERROR,70.0,60014ms,center,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[27, 82, 20, 59, 59, 63, 22, 21, 82, 4, 78, 4]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[14, 8, 5, 6, 5, 42, 32, 37, 67, 37, 71, 23]",ERROR,70.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[43, 29, 13, 30, 22, 70, 43, 74, 41, 47, 15, 68]",ERROR,70.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[34, 19, 24, 6, 68, 73, 59, 21, 56, 59, 32, 80]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[1, 36, 51, 76, 30, 8, 43, 31, 44, 13, 81, 11]",ERROR,70.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[65, 74, 30, 28, 74, 1, 16, 77, 51, 61, 31, 18]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[78, 0, 38, 38, 18, 48, 30, 74, 33, 25, 32, 64]",ERROR,100.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[40, 16, 78, 77, 26, 78, 34, 51, 6, 7, 67, 35]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[2, 73, 48, 57, 84, 24, 80, 46, 29, 0, 12, 40]",ERROR,60.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[72, 33, 82, 41, 29, 16, 37, 71, 69, 52, 6, 82]",ERROR,60.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[8, 43, 35, 76, 60, 4, 29, 44, 14, 8, 1, 37]",ERROR,30.0,50227ms,center,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[63, 3, 74, 80, 58, 83, 26, 31, 8, 23, 24, 78]",ERROR,20.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[42, 57, 6, 17, 49, 26, 57, 38, 9, 42, 76, 72]",ERROR,20.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[45, 27, 41, 63, 66, 14, 18, 75, 59, 84, 32, 0]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[49, 29, 47, 61, 74, 39, 38, 83, 17, 76, 69, 66]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[66, 74, 77, 43, 17, 42, 25, 5, 18, 15, 2, 32]",ERROR,20.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[78, 45, 79, 50, 80, 9, 17, 74, 71, 56, 55, 15]",ERROR,20.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[37, 13, 80, 70, 56, 31, 30, 24, 50, 42, 47, 79]",ERROR,10.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[8, 37, 44, 13, 21, 57, 21, 24, 75, 59, 81, 5]",ERROR,40.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[12, 79, 20, 10, 60, 31, 42, 19, 26, 53, 14, 60]",ERROR,10.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[73, 16, 14, 14, 11, 3, 3, 4, 73, 4, 13, 51]",ERROR,60.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,6,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[29, 63, 14, 9, 0, 5, 3, 48, 82, 72, 56, 54]",ERROR,0.0,50227ms,center,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[63, 73, 7, 6, 47, 56, 73, 55, 24, 49, 16, 60]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[2, 57, 32, 43, 78, 33, 73, 52, 33, 3, 63, 34]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[12, 43, 27, 73, 11, 11, 67, 5, 0, 50, 11, 7]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[56, 23, 15, 55, 35, 42, 33, 80, 66, 42, 17, 54]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[57, 29, 64, 51, 36, 32, 25, 44, 9, 59, 82, 7]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[25, 54, 1, 66, 11, 80, 70, 25, 25, 77, 8, 0]",ERROR,90.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[78, 26, 74, 46, 58, 33, 84, 21, 59, 62, 76, 62]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[25, 28, 65, 1, 44, 51, 84, 56, 8, 7, 32, 57]",ERROR,50.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[40, 75, 26, 37, 84, 12, 81, 71, 20, 61, 56, 79]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[73, 46, 50, 15, 24, 84, 78, 67, 81, 21, 9, 21]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,4,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[38, 11, 71, 10, 74, 3, 77, 64, 18, 3, 77, 70]",ERROR,70.0,60014ms,center,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[15, 61, 65, 14, 19, 25, 32, 33, 82, 70, 36, 44]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[8, 33, 71, 39, 19, 18, 42, 68, 51, 35, 20, 30]",ERROR,70.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[10, 57, 0, 49, 51, 3, 18, 74, 63, 36, 48, 21]",ERROR,60.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[2, 14, 47, 36, 65, 35, 62, 43, 18, 34, 51, 49]",ERROR,100.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[61, 71, 83, 71, 20, 49, 52, 54, 43, 14, 73, 16]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[18, 15, 9, 38, 34, 3, 51, 34, 17, 28, 12, 39]",ERROR,70.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[27, 34, 76, 43, 23, 19, 41, 77, 39, 80, 40, 24]",ERROR,90.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[78, 1, 45, 24, 69, 65, 82, 32, 62, 24, 52, 57]",ERROR,90.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[51, 32, 76, 64, 18, 72, 23, 6, 43, 74, 6, 46]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[25, 54, 34, 22, 7, 5, 65, 7, 70, 33, 47, 49]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,1,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[11, 31, 29, 14, 63, 30, 58, 35, 28, 18, 77, 22]",ERROR,90.0,50227ms,center,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[14, 8, 5, 6, 5, 42, 32, 37, 67, 37, 71, 23]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[34, 19, 24, 6, 68, 73, 59, 21, 56, 59, 32, 80]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[72, 33, 82, 41, 29, 16, 37, 71, 69, 52, 6, 82]",ERROR,100.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[27, 82, 20, 59, 59, 63, 22, 21, 82, 4, 78, 4]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[78, 0, 38, 38, 18, 48, 30, 74, 33, 25, 32, 64]",ERROR,20.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[65, 74, 30, 28, 74, 1, 16, 77, 51, 61, 31, 18]",ERROR,100.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[1, 36, 51, 76, 30, 8, 43, 31, 44, 13, 81, 11]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[40, 16, 78, 77, 26, 78, 34, 51, 6, 7, 67, 35]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[43, 29, 13, 30, 22, 70, 43, 74, 41, 47, 15, 68]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[2, 73, 48, 57, 84, 24, 80, 46, 29, 0, 12, 40]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,10,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[73, 36, 18, 83, 74, 16, 81, 68, 27, 84, 15, 4]",ERROR,40.0,52987ms,center,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[31, 20, 12, 63, 33, 49, 62, 67, 51, 20, 52, 50]",ERROR,40.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[31, 62, 48, 16, 76, 11, 82, 17, 13, 46, 23, 63]",ERROR,20.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[50, 60, 68, 57, 31, 78, 17, 73, 43, 71, 7, 35]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[50, 21, 4, 9, 48, 36, 65, 6, 8, 27, 54, 7]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,7,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
